comment,rate
"سلام. به همه. لپ تاپ با طراحی باریک و مینیمال و خیلی سبک و زیبا. مشخصات فنی با توجه به قیمت مناسبترین گزینه هست. صفحه نمایش زاویه دید مناسبی نداره.
برخی دوستان در مورد مشکل نصب ویندوز گفته بودن. براحتی میتونید ویندوز رو با یک فلش بوتیبل نصب کنید. ویندوز 11 رو دانلود کنید و با نرم افزار Rufus یک فلش بوتیبل درست کنید. بعد از نصب هم کلیه درایورها رو از سایت لنوو دانلود کنید. هیچ جای دیگه رو نگردید که پیدا نمی‌کنید. فقط سایت پشتیبانی لنوو که آدرسشو گایبن میذارم با فیلترشکن برید داخل و بعد از انتخاب مدل لپ تاپ، تمامی درایورها و که حدود 3 گیگ هست دانلود و براحتی نصب کنید.
https://support.lenovo.com/us/en
بدون درایورها حتی وایرلس و تاچ پد هم فعال نیست و عملا نمی‌تونید کاری انجام بدید. داخل سایت مدل لپ تاپ که ideapad slim 3i 15 15iru8 هست رو سرچ کنید تمامی درایورها رو میاره. موفق باشید و لذت ببرید. ",5
فعلا راضی بودم نسبت به قیمتش,5
"با سلام ، لپتاپ واقعا خوبیه البته نسبت به قیمتش در مقایسه با asus vivobook x1504 که سی پی یو یکسانی دارن. کیفیت صفحه لنوو و سرعتش بخاطر ddr5 بودن بیشتره همچنین سرعت هاردشم بیشتر بود حدود ۳۵۰۰ سرعت خوندنش بود از معایبش میتونم به کم بودن صداش و قابل ارتقا نبودن رمش اشاره کنم.
*یک نکته خیلی مهم برای کسایی که احساس کندی میکنن با این لپتاپ اینکه تو بایوس lenovo intelligent cooling رو غیر فعال کنین همچنین تو بایوس دستگاه رو high performance بذارین تا مشکلتون حلشه*",5
"من امتیاز ۲ دادم. از نظر فنی هم نظر میدم 
هنگام خرید این لپ تاپ به این نکات توجه کنید
۱.هیچ سیستم عاملی ندارد 
۲. کاور، موس، کیبورد، کیف، پد، یا هیچ لوازم اضافی یا اشانتیون ندارد
۳‌. هنگام نصب سیستم عامل جدید دقت کنید که فلش شما ویندوز ۱۱ و برای مادربورد های جدید بوت شده باشد
۴. نکته بسیاااار مهم ( رم این لپ تاپ به هیچ وجه قابل ارتقا نیست)؛
۵. صفحه نمایش کیفیت آنچنانی ندارد.
۶. سعی کنید از سوکت‌های usb استفاده نکنید و به جای آن یک هاب تهیه کنید تا کمتر استهلاک داشته باش.
۷. این لپ تاپ یکی از خوب‌ها در بازه قیمت اقتصادی میباشد، اما توجه کنید اگه میتونید بیشتر هزینه کنید، موارد بهتری هم در بازار انحصاری ایران وجود دارد
۸. به امید روزهای خوش و آینده بهتر برای مردم زحمتکش و مظلوم ایران",2
همه چیز عالی، به غیر از اینکه بک لایت نداشتن کیبورد ممکنه آزاردهنده باشه، همچنین فکر می‌کنم صفحه نمایش از پایین‌ترین تکنولوژی تو کل وسایل الکتریکی بهره ببره ...,4
"صفحه نمایش فاجعه هست! یکم سرتو تکون بدی کلا نمیبینی دیگه 
دلتو میزنه ولی اگه زیر سی تومن پول داری این بهترین گذینه هست سرعتش بد نیس 
کیبورد و ظاهرش اما خوبه 
چی بگم والا پول زیادی نداشتم برا ترید خریدم خودم 
رمش هم اگه قابل ارتقا نباشه چند سال دطه ب مشکل میخوری ",2
در حد اداری عالیه,5
قیمت مناسب,4
وقت رسیده دستم پایه شکسته بود چون بسته بندی خوب نبود کارتش خیلی بزرگ بود پاره شده بود ,5
مناسب برای کارهای معمولی و خانگی - متاسفانه برای ویندوز 10 و پایینتر مناسب نیست و تاپ پد و برخی قطعات بدرستی کار نمیکنن و درایور برای ویندوز 10 هم بصورت رسمی نداره,4
نسبت به قیمتی که داره در کل خوبه,5
کانفیگ خوب - تصویر بد - رم این دستاه دارای محدودیت ارتقاست . برای روزمره بد نیست,3
"من برای کارای اداری گرفتم عالیه راضی ام
سرعت کار خوبه، با مدلای دیگه کار کردم سرعت کند بود و اذیت کننده، ولی این عااالیه ",5
از خریدم بسیار راضی هستم. لپ تاپ بسیار خوب و اقتصادی هست. فقط سیستم عامل روش نصب نیست که باید خودتان نصب کنید.,5
"به نسبت قیمت خیلی خوبه 
فقط نمایشگرش  و صدای اسپیکرش خوب نیست که برای من زیاد مهم نیست 
و اینکه قدرت سخت افزاری بالا داره ولی برای روون تر و بهتر کار کردن درایور ها رو از سایت خودش بگیرید",5
تنها چیزی که نا امیدتان می کند کیفیت پایین  رنگ ها و تصویر است ,4
لپ تاپ سبک خوش دست و زیبایی هست. برای کارهای دفتری، دانشجویی و اینجور چیزها کارها مناسب می باشد. ,5
لپ تاپ بسیار خوبی است. با این قیمت بسیار مناسب است در بازار حدوداً ۳ میلیون تومان اختلاف دارد ،ممنون از عوامل دیوار,5
لپتاب خوبی نیست برای وبگردی و این جور چیزا خوبه و اینکه تا جایی که من میدونم ویندوز ۱۱ روش نصب میشه,3
"برای اقوام سفارش دادم که راضی بودن ممنونم
بسته بندی هم عالی بود",5
"ممنون بابت تحویل به موقع و بسته بندی عالی 
لپ تاپ کاملا سالم به دستم رسید و فعلا دادم روش ویندوز نصب کنن",5
"کسانی که میخواهند لپ تاپ اقتصادی بخرن 
حتما حتما حتما دقت کنن
تا جایی که بودجه تون اجازه میدهد
لپ تاپ باصفحه نمایش ips بخرید.
اگر بودجه تون نمیرسه یا قبلا با صفحه نمایش TN خرید کردید
چند راه دارید:
1.بوسیله setting&gt;display&gt;connect to wireless display یا کابل HDMI به تلوزیون متصل شوید.
2.یا مانیتور جدا با صفحه نمایش ips بخرید.",0
تازه به دستم رسیده ولی سالم بود فقط کاش ویندوز روش نصب بود,5
"خوبه
مناسب کارهای سبک و دانشجویی که راحت از پسش بر میاد
ولی یه قسمتی از صفحه نمایش چنتا پیکسل مشکل داشتن از شانس من و توانایی تولید نور زیاد رو نداشتن و نویز داشتن که عکسشو گذاشتم و مجبور شدم مرجوع کنم.
در‌کل خوبه",5
"من این لپتاپ رو تازه خریدم ۳ روزه
ویندوز 11 نصب کردم و مشکلی پیش نیومد 
از لحاظ صفحه کیبرد خیلی نرم و روان هست
صفحه نمایش خب تنها چیزی هست که خیلی نباید ازش انتظار زیادی داشت 
اگر مدام در حال جابجایی نباشید و روی میز باشه لپتاپ تو یه زاویه خاص خوبه اذیت نمیکنه 
بعد از نصب ویندوز و استفاده اولین باری که شارژ لپتاپ تموم شد زدم شارژ 1 ساعت شارژ شدن زمان برد و اینکه حدود 5 ساعت ازش استفاده کردم در حد وب گردی بود
اسپیکر خیلی خوبی داره و واقعا میزان صداش قابل قبوله 
دوربین لپتاپ هم کیفیت معمولی داره
در کل میشه گفت برای استفاده روزمره خوب هست 
اگر تجربه جدیدی داشتم بازم ویرایش میکنم نظرمو",4
"باسلام
هم زمان تحویلش طولانی بود بیشتر از ۱۰روز طول کشیدوهم در بسته باز بود.",1
لپ تاپ برای کارهای عادی و روزانه جوابگو هستش حتما درایورهای لپ تاپ مستقیم از سایت لنوو نصب کنید که مشکلی براتون پیش نیاد یه نکته دیگه هم که باید توجه داشته باشید صفحه نمایش این لپ تاپه ممکنه چشمتون اذیت کنه و برای فیلم دیدن مناسب نباشه,4
قیمت و کیفیت مناسبه برای مصارف عادی,5
سلام دوستان لپتاب خوبیه قطعا ولی در انتخاب تامین کننده دقت کنید. من این لپتاب رو از پلازا دیجیتال سفارش دادم که به دلیل افزایش قیمت تامین نکرد.,0
"برای کار حسابداری خریدم عالیه فقط اگر قصد دارید همزمان فیلم و عکس هم روش بریزید ssd رو ارتقا بدید 
ویندوز 11 هم با درایوهاش سازگاری بهتری داره اما ویندوز دیگه ای هم میشه نصب کرد مثلا برای حسابداری 10 بهتره .",5
سر وقت به دستم رسید کاملا آکبند بود و بسیار زیبا هنوز ویندوز نصب نکردم ببینم کاراییش چطوره,5
واقعا من راضی ام خیلی خوبه,4
"درود
من نسخه کاستوم شده رو از بازار خریدم و تا الان که باهاش کار میکنم واقعا راضی هستم و از هر نظر عالیه
یکی از نکات مثبت این لپ‌تاپ باتریش هست که خیلی سریع شارژ میشه و بازدهی بسیار عالی داره
ویندوز ۱۱ انداختم روش خیلی خوبه
گیم باهاش نزدم تاحالا ولی ماینکرافت رو کاملا روون میاورد
قطعا در این رنج قیمت بهتر از این چیزی پیدا نمی‌کنید",0
لپ تاپ خوبیه من تازه گرفتم.مشکلی نداشت و همونی بود که میخواستم.برای کارتای روزانه عالیه.,5
معرکه بود. برای استفاده عادی عالیه,5
ویندوز ۱۱ به راحتی نصب  شد و بسته بندی واقعا خوب بود ممنون از دیجی نسبت به قیمت واقعا میارزه و ارزش خرید داره,5
از خریدم راضی ام,5
از هر لحاظ عالی بسته بندی پلمپ ,5
عالی بود را,5
نسبت به قیمتش همه چیزش خوب بود,5
عالی بود نسبت به قیمت ,5
"باسلام. اول از تشکر  کنم از دیجیکالا و پیک منطقه ، که ۱ روز زودتر از موعد تحویل دادن و دوم اینکه دستگاه پلمپ و صحیح و سالم تحویل داده شد.
حالا یه بررسی عمومی بکنیم و بررسی تخصصی بمونه برا کسایی که تجربه خرید و فروش بیشتری در لپ‌تاپ دارن.
اول از همه باطری رو میگم (چون مهم‌ترین مزیت از نظر من بود):
وقتی از ۱۵ درصد به شارژ میزنی تقریبا تا ۵۰ دقیقه تا ۹۵ درصد شارژ میشه که واقعاً عالیه، و اینکه بعد از شارژ شدن دستگاه میتونید نزدیک ۶ ساعت (Screen on) بگیرید تا درصد برسه به ۲۰ درصد، منتهی من بازی و کار گرافیکی مثل فتوشاپ انجام ندادم و فقط با استفاده از برنامه ورد آفیس و روشن بودن اینترنت و بلوتوث تست باطری رو انجام دادم که به شخصه به نظر خودم خوب بود.
دوم پردازنده دستگاهه:
اونم باید بگم که زمانی که استفاده می‌کنید اصلا داغ نمیکنه و حتی انقدری گرم نمیشه که نیاز پیدا کنه فن بزنه. و در کارهای روزمره‌ای که انجام میدم هیچگونه لگ و هنگی نداره خداروشکر. 
صفحه نمایش:
من برای تایپ این لپ‌تاپ رو گرفتم و خیلی زاویه دید و رنگ برام مهم نبود و بیشتر باطری برام مهم که موقع قطعی برق اذیت نکنه ولی به نظر خودم برای فیلم دیدن چند نفری هم کار رو راه میندازه و اطرافیان هم از کیفیت راضی بودن. در ضمن یه چیزش که خیلی مهمه؛ بیشنه و کمینه نورش بود که واقعاً عالی بود، یعنی برای کار توی تاریکی انقدری می‌تونید نور کم کنید که چشم رو اذیت نکنه که این مزیت هم برای من به شخصه خیلی مفید بود.
حافظه ssd تا جایی که من فهمیدم سامسونگ نبود حالا باز عکسش هم میزارم شاید به دردتون بخوره.
بلندگوها بلندی صدای خوبی داره ولی از نظر حجم صدا از گوشی شیائومی پوکو ام ۳ ضعیف‌تره ولی گوش‌خراش نیست و لذت فیلم دیدن و گوش کردن به موسیقی رو از دست نمیدید.
ترک‌پد و کیبورد نرم و روانی داره. 
نصب ویندوز که خیلی تو نظرات دوستان در موردش حرف زده شده بود، باید بگم به شخصه من تو نصب ویندوز ۱۱ به هیچ مشکلی برنخوردم.
دیگه چیزی نموند و به نظرم هر چی بود گفتم امیدوارم که به دردتون بخوره.",5
بدنیی میان رده هس دیگ,4
قیمت از بازار مناسبتر بود و همه چی عالی بود,5
موقع تحویل کالا تهران نبودم الان بعد دوهفته اومدم لب تاپ که روشن میکنم صفحه بالا نمیاد نه پشتیبانی آنلاین هست نه تماس تلفنی که پاسخ بدن جواب ایمیل هم نمیدن,1
شلام من بخاطر نبود برق گرفتم وقتایی که برق میره کارم لنگ میمونه .کیفیت صفحه نمایش که افتضاحه واقعا جداداز زاویه دید محدود چشم رو هم اذیت میکنه ،اینو فاکتور بگیرید لپتاب خوبیه .باتری عالیه با نور ۸۰ درصد تو ۳ ساعت کار مداوم و وای فای روشن باتریش شد ۵۲ درصد  و سخت افزاری هم قویه و لگ نمیزنه .,4
خیلی خوب و سریع هست,5
بسیار عالی و کاربردی از همه لحاظ فوق العاده است.,0
من خیلی وقت بود که میخواستم یه لپ تاپ جدید بگیرم و تنها کاری که میخواستم باهاش انجام بدم در حد ترید کردن و چندتا سایت باز کردن بود اما کسی نبود که راهنماییم کنه و گوگل هم که میکردم اطلاعات نادرست و معرفی لپ‌تاپ‌های خیلی گرون.. خلاصه یه روز دیدم دیجیکالا اینو شگفت انگیزش کرده منم که دیگه به سیم آخر زده بودم ریسک کردمو همینو سفارش دادم بنظر خودم که مشخصاتش جوابگوی کار من بود اما قیمت این کجا و قیمت لپ‌تاپای پیشنهادی گوگل کجا. خلاصه سرتون رو درد نیارم اگه احیانا شما هم یکی هستید مثل من، میخوام بهتون بگم برای کاری که ما میخوایم زیادی هم هست ظرفیت و نگهداری باتریش هم معقوله. امیدوارم این نظر بدرد یکی مثل خودم بخوره,4
لپ تاپ ع الی هستش,5
کالا خیلی شیک ووکیوم شده تحویل داده شد ولی فعلا فعالش نکردم تا کیفیت محصول رامورد ارزیابی قرار دهم .,4
واقعا خوب بودم بعد از یک هفته استفاده و برای کارهای دانشگاه و وب گردی و برای استفاده روزمره توصیه میشه و درحد بازیهای سبک هم می‌توان استفاده کرد,5
ما در دفترمون حداقل ۶ دستگاه از انواع مختلف این مدل داریم و خیلی راضی هستیم.,5
لپ تاپ خوبیه ، تازه خریدم. دادم مغازه ویندوز و انتی ویروس نصب کردن,5
"ارزش خرید داره 
من 3 عدد سفارش دادم ",5
به نسبت قیمتش خیلی خوبه ارزش خرید داره,5
"یک نظر کلی برای خریداران:
اول دقت کنید درخریدتون سپس ثبت خرید کنید ، اول اینکه رک بهتون نظرم رو میگم. از نظر قطعات لپ تاپ بروز و نسبتا خوب برای کار های سبک مثل برنامه نویسی خیلی مبتدی و کار های روزمره هست و برای کار سنگین و گیم اصلا خوب نیست. رم نسل بالا هست ولی نقطه ضعفش اینه که نمیشه بروز کرد پس توجه کنید به این نکته. از نظر ظاهری بینظیره و تو نصب ویندوز اذیت میشید اگر بلد نباشید پس بدید کافی نت. و اینکه صفحه نمایش از پنل TN هست و صادقانه بگم خوب نیست و تو کار حرفه ای مثل ادیت اذیتتون میکنه پس میتونید مانیتور بگیرید یا LED عوض کنی ویا عینک مخصوص استفاده بگیری اذیت نشی . درکل اگر برای کار های سبک و برنامه نویسی و افیس و وب گردی میخوای مناسب خودته تو این قیمت.",4
بسته بندی خوب.نسبت به قیمت ارزش خرید داره,5
هم از لحاظ ظاهر و هم کاربردی عالیه. ویندوز یازده هم به راحتی روش نصب شد.,5
کم وزن و کار راه بنداز ، برای گیم و کاراهای گرافیکی سنگین خوب نیست ولی برای کارهای اداری عالیه ,5
خوب,5
با بودجه کم خوبه,3
عالیییی,5
در خریدش شک نکنید ,5
خوبه در حد خودش,3
نسبت به قیمت خوبه سبک برای کاری  دانشگاه گرفتم,4
عالی بود باید درایوراشو از سایت دانلود کنید.ویندوز ۱۱ نصب کردم,5
عالیه به نظره من,3
"خیلی بده 
کیفیت صحفه نماش هم کم بود.
ظرفیت حافظه هم نداشت....",0
کارکنان بسیار بی حوصله و‌ اطلاعات مناسب ارائه نمیدهند.,3
خوبه و به قیمت می ارزه,4
سلام لپ تاپ بروز میباشد ،وضوح تصویر و دوربین عالی دارد,5
از همه لحاظ عالی,5
خوب و عالی بود ,5
"تو این رنج قیمتی عالیه 
رمش از نسل ddr5 هست که عالیه در نوع خودش
سی پی یو اینتل نسل ۱۳ عالیه
به نظرم تنها نقطه ضعفش نوع صفحه نمایشش هست که Tn هست ",4
"عاااالیه سبک و شیک 
هنوز زیاد باهاش کار نکردم
ولی از صدا و تصویر راضی ام
فقط کیبوردش نوشته فارسی نداره",5
سر وقت رسید دستم ، همه چی عالی ، نسبت به قیمتش خوبه,5
خیلی دیر به دستم رسید.8اسفند خرید کردم 20اسفندتحویل دادند,4
خوب بود,4
لپ‌تاپ 15.6 اینچی لنوو,0
"در این رنج قیمت تنها گزینه منطقی و قابل خرید این مورد هستش
در مورد خریدش اگه نیازتون رو برآورده میکنه شک نکنید",5
لبتاب خوبی,4
راضی ام ازش,5
"دستگاه خوبیه
خوشگل وسبک وخاص
کیفت بدنه اش هم خوبه
صفحه نمایشش خیلی عالی نیست ولی با این قیمت واقعا قابل قبوله
من لپتاپ رو برای کار املاک و چیدمان فایل هام خریدم
عکس هامو بریزم تو و فیلم ببینم ، و در کل اوکیه 
باطریش هم خوبه کار می‌کنه اگه کار سنگینی انجام ندید خیلی نرماله باطریش",4
بسیار راضی هستم,5
"عالی بود
",4
خوبه ویندوز ۱۱ براحتی نصبه بعد نصب باید درایواشو اپدیت کنی تا کار کنن شارژ دهیش بد نیس در صورت استفاده مداوم تا ۸ ساعت جوابه در کل خوبه,4
به نسبت قیمت کارایی قابل قبولی داره . سبکه و بسیار ظریف,4
